"symbol1"	"symbol2"	"CC"
"ACHE"	"CAMK2A"	0.568
"ACHE"	"HAND1"	0.445
"ACP5"	"CD68"	0.402
"ACTA1"	"ACTA2"	0.804
"ACTA1"	"ACTN4"	0.69
"ACTA1"	"AKT1"	0.553
"ACTA1"	"ARF1"	0.581
"ACTA1"	"CSK"	0.588
"ACTA1"	"DDOST"	0.426
"ACTA1"	"EEF2"	0.567
"ACTA1"	"EIF4A2"	0.449
"ACTA1"	"EIF5A"	0.487
"ACTA1"	"HSPB1"	0.714
"ACTA1"	"LAMA5"	0.515
"ACTA1"	"PFDN1"	NA
"ACTA1"	"PGK1"	0.602
"ACTA1"	"RAPSN"	0.544
"ACTA1"	"RPL4"	0.544
"ACTA1"	"RPLP0"	0.547
"ACTA1"	"RPLP2"	0.521
"ACTA1"	"RPS9"	0.551
"ACTA1"	"TMSB4X"	0.567
"ACTA1"	"TNNI1"	0.539
"ACTA1"	"TNNI2"	0.547
"ACTA1"	"TPM2"	0.673
"ACTA1"	"TMSB4Y"	0.784
"ACTA1"	"GSPT2"	0.425
"ACTA1"	"CTNNBL1"	0.362
"ACTA1"	"TUBB"	0.698
"ACTA1"	"HIST1H2AA"	0.454
"ACTA1"	"TUBB2B"	0.555
"ACTA2"	"ACTN4"	0.752
"ACTA2"	"KLF6"	0.473
"ACTA2"	"EEF2"	0.682
"ACTA2"	"EIF5A"	0.57
"ACTA2"	"HSPB1"	0.718
"ACTA2"	"PGK1"	0.684
"ACTA2"	"RPL4"	0.646
"ACTA2"	"RPL7"	0.571
"ACTA2"	"RPLP0"	0.641
"ACTA2"	"RPLP2"	0.594
"ACTA2"	"RPS9"	0.631
"ACTA2"	"RPS23"	0.511
"ACTA2"	"SRF"	0.506
"ACTA2"	"TMSB4X"	0.655
"ACTA2"	"TPM2"	0.46
"ACTA2"	"RPL14"	0.609
"ACTA2"	"ARPC1B"	0.573
"ACTA2"	"GSPT2"	0.506
"ACTA2"	"PYCR2"	0.348
"ACTA2"	"TUBB"	0.663
"ACTA2"	"TUBB2B"	0.503
"ACTN4"	"AP2A1"	0.499
"ACTN4"	"AKT1"	0.734
"ACTN4"	"CAMK2A"	0.634
