"symbol1" "symbol2" "BP"
"REM1" "GSTZ1" NA
"REM1" "LRRC24" NA
"REM1" "ISLR2" NA
"REM1" "LRRK1" NA
"REM1" "PLEKHG5" NA
"REM1" "LRRC38" NA
"CDC34" "UBE2E3" 0.633
"CDC34" "FBXL2" 0.688
"CDC34" "CBL" 0.511
"CDC34" "UBL4B" 0.131
"CDC34" "ZNRF3" 0.589
"GSTZ1" "EEF1D" 0.261
"GSTZ1" "MPO" 0.213
"PCK2" "CRTC2" 0.412
"PCK2" "RETN" 0.358
"SLC17A7" "GABBR2" 0.257
"AMH" "INHBE" 0.555
"RETN" "SP1" 0.332
"HOXA2" "HIST1H2BN" 0.294
"SNX17" "LDLR" 0.36
"TBX4" "DUX4" 0.483
"ACADS" "TXNRD2" 0
"F2RL3" "ARRB1" 0.585
"F2RL3" "AVPR1B" 0.565
"F2RL3" "CHRM1" 0.681
"SHFM1" "FHL2" NA
"SHFM1" "DYNC1I1" NA
"SHFM1" "NFKBIE" NA
"IRAK2" "PELI3" 0.512
"ITIH5" "KIAA1549" NA
"ADAMTS8" "ADAMTS15" NA
"USP37" "UBL4B" 0
"USP37" "RHPN1" NA
"DPEP1" "SAMM50" 0.013
"DGCR8" "CDT1" 0.127
"SPTBN4" "SPTBN2" 0.619
"SPTBN4" "DYNC1I1" 0.301
"SPTBN4" "CABP4" 0.432
"CBL" "UBE2E3" 0.33
"CBL" "LDLR" 0.421
"CBL" "ARRB1" 0.599
"CBL" "CD79B" 0.563
"CBL" "CBLC" 0.758
"TRPV5" "TRPM1" 0.515
"TRPV5" "VDR" 0.239
"MAD1L1" "PMF1" 0.563
"MAD1L1" "CENPH" 0.183
"INHBE" "BMPER" 0.575
"INHBE" "TGFB2" 0.459
"ASGR1" "CLEC1B" 0.243
"ASGR1" "ITIH3" 0.531
"CBX4" "HIST1H2BN" 0.399
"NFKBIE" "CARD11" 0.623
"CENPH" "HIST1H2BN" 0.528
"CENPH" "PMF1" 0.068
"UCHL1" "BCS1L" 0.079
"UCHL1" "KRT4" 0.184
"MYO1A" "RAC3" 0.125
"MYO1A" "CABP4" 0.504
"EPB42" "ALAS2" NA
"EPB42" "HBD" NA
"CDT1" "LMNB2" NA
"RILP" "HLA-DRA" 0.373
"RILP" "SPTBN2" 0.61
"RILP" "DYNC1I1" 0.388
"KCNAB3" "KCNH6" 0.981
"RAC3" "PLEKHG5" 0.498
"RAC3" "ARHGAP10" 0.663
"CHRM1" "AVPR1B" 0.552
"CHRM1" "ARRB1" 0.598
"CHRM1" "SP1" 0.452
"CHRM1" "LAMB2" 0.451
"DNAI2" "DYNC1I1" 0.488
"BRSK1" "RIMS2" 0.6
"SPTBN2" "DYNC1I1" 0.747
"SPTBN2" "CABP4" 0.488
"SPTBN2" "HLA-DRA" 0.585
"OR1E1" "ARRB1" 0.321
"DYNC1I1" "HLA-DRA" 0.497
"LPA" "LDLR" 0.37
"FHL2" "SP1" 0.606
"CABP4" "UBL4B" 0.303
"CABP4" "CACNA1E" 0.448
"IGLL1" "CD79B" 0.727
"SP1" "VDR" 0.594
"SP1" "POU2F1" 0.675
"SP1" "NR1H3" 0.463
"HIST1H2AK" "HIST1H2BN" 0.847
"ALAS2" "GNMT" 0.248
"ALAS2" "HBD" 0.315
"UBL4B" "UBE2E3" 0
"PDCD1" "HLA-DRA" 0.456
"OR1J2" "ARRB1" 1
"SAMM50" "STK32A" 0.108
"TGFB2" "ITIH3" 1
"DNTTIP1" "WIBG" NA
"OR5C1" "ARRB1" 0.321
"ZNF593" "MTG1" 0.159
"IDH3B" "TXNRD2" 0
"LRRK1" "CARD11" 0.397
"UBE2E3" "ZNRF3" 0.496
"CD79B" "CARD11" 0.608
"HIST1H2BN" "SUPT5H" 0.322
"NR1H3" "LDLR" 0.603
"EEF1D" "SUPT5H" 0.295
"ARRB1" "LDLR" 0.465
"ARRB1" "OR7G1" 1
