"symbol1"	"symbol2"	"MF"
"ACHE"	"CAMK2A"	0.578
"ACHE"	"HAND1"	0.557
"ACP5"	"CD68"	NA
"ACTA1"	"ACTA2"	0.681
"ACTA1"	"ACTN4"	0.619
"ACTA1"	"AKT1"	0.624
"ACTA1"	"ARF1"	0.68
"ACTA1"	"CSK"	0.589
"ACTA1"	"DDOST"	0.514
"ACTA1"	"EEF2"	0.622
"ACTA1"	"EIF4A2"	0.616
"ACTA1"	"EIF5A"	0.568
"ACTA1"	"HSPB1"	0.58
"ACTA1"	"LAMA5"	0.372
"ACTA1"	"PFDN1"	0.36
"ACTA1"	"PGK1"	0.691
"ACTA1"	"RAPSN"	0.316
"ACTA1"	"RPL4"	0.707
"ACTA1"	"RPLP0"	0.645
"ACTA1"	"RPLP2"	0.684
"ACTA1"	"RPS9"	0.633
"ACTA1"	"TMSB4X"	0.65
"ACTA1"	"TNNI1"	1
"ACTA1"	"TNNI2"	0.602
"ACTA1"	"TPM2"	0.574
"ACTA1"	"TMSB4Y"	0.596
"ACTA1"	"GSPT2"	0.586
"ACTA1"	"CTNNBL1"	0.656
"ACTA1"	"TUBB"	0.766
"ACTA1"	"HIST1H2AA"	0.75
"ACTA1"	"TUBB2B"	0.813
"ACTA2"	"ACTN4"	0.681
"ACTA2"	"KLF6"	0.681
"ACTA2"	"EEF2"	1
"ACTA2"	"EIF5A"	0.681
"ACTA2"	"HSPB1"	1
"ACTA2"	"PGK1"	0.681
"ACTA2"	"RPL4"	0.681
"ACTA2"	"RPL7"	0.681
"ACTA2"	"RPLP0"	0.681
"ACTA2"	"RPLP2"	0.681
"ACTA2"	"RPS9"	0.681
"ACTA2"	"RPS23"	0.681
"ACTA2"	"SRF"	0.681
"ACTA2"	"TMSB4X"	0.866
"ACTA2"	"TPM2"	0.452
"ACTA2"	"RPL14"	0.681
"ACTA2"	"ARPC1B"	0.681
"ACTA2"	"GSPT2"	0.681
"ACTA2"	"PYCR2"	0.681
"ACTA2"	"TUBB"	0.681
"ACTA2"	"TUBB2B"	0.681
"ACTN4"	"AP2A1"	0.587
"ACTN4"	"AKT1"	0.609
"ACTN4"	"CAMK2A"	0.606
"ACTN4"	"CSK"	0.615
"ACTN4"	"CSNK2B"	0.719
"ACTN4"	"DNM2"	0.674
"ACTN4"	"EEF2"	0.7
"ACTN4"	"FAU"	1
"ACTN4"	"GNB1"	0.654
"ACTN4"	"GNB2"	0.654
"ACTN4"	"MDH2"	0.453
"ACTN4"	"MSN"	0.676
"ACTN4"	"MYL6"	0.551
"ACTN4"	"PF4"	0.588
"ACTN4"	"PGK1"	0.571
"ACTN4"	"RAB5C"	0.633
"ACTN4"	"RPL4"	0.664
"ACTN4"	"RPL7"	0.734
"ACTN4"	"RPL8"	0.475
"ACTN4"	"RPL27A"	0.664
"ACTN4"	"RPLP2"	0.601
"ACTN4"	"RPN1"	0.648
"ACTN4"	"SET"	0.574
"ACTN4"	"SPARC"	0.598
"ACTN4"	"TMSB4X"	0.703
"ACTN4"	"TNNI2"	0.668
"ACTN4"	"TNNT3"	0.608
"ACTN4"	"TPM2"	0.618
"ACTN4"	"TSC2"	0.632
"ACTN4"	"VEGFB"	0.543
"ACTN4"	"VWF"	0.669
"ACTN4"	"SLC9A3R2"	0.661
"ACTN4"	"ARPC1B"	0.67
"ACTN4"	"TRIM3"	0.598
"ACTN4"	"RPL13A"	0.499
"ACTN4"	"TUBB"	0.624
"ADAR"	"EGR1"	0.583
"ADAR"	"IFIT2"	0.697
"ADAR"	"IRF2"	0.636
"ADAR"	"IRF3"	0.635
"ADAR"	"IRF7"	0.629
"ADAR"	"NONO"	0.664
"ADAR"	"NPM1"	0.555
"ADAR"	"PCBP1"	0.691
"ADAR"	"PSMB4"	0.583
"ADAR"	"RPL11"	0.64
"ADAR"	"RPS2"	0.663
"ADAR"	"RPL35"	0.582
"ADCY1"	"FSHR"	0.081
"ADCY1"	"GNAI2"	0.074
"ADCY1"	"GNB2"	0.086
"ADCY1"	"GRM4"	0
"ADCY1"	"HRAS"	0.074
"ADCY1"	"HTR4"	0
"ADCY1"	"NPY"	0.003
"ADCY1"	"SCTR"	0
"ADCY1"	"CXCR4"	0.029
"ADCY1"	"ADM2"	0
"ADCY1"	"NPW"	0.201
"AP2A1"	"ARRB2"	0.686
"AP2A1"	"CAMK2A"	0.571
"AP2A1"	"CD22"	0.552
"AP2A1"	"CRK"	0.615
"AP2A1"	"CSNK2B"	0.652
"AP2A1"	"DNM2"	0.653
"AP2A1"	"EEF2"	0.699
"AP2A1"	"EIF5A"	0.567
"AP2A1"	"HLA-DRB1"	0.147
"AP2A1"	"PPP3CC"	0.581
"AP2A1"	"RAB5B"	0.568
"AP2A1"	"RAB5C"	0.597
"AP2A1"	"RPN1"	0.606
"AP2A1"	"RPS9"	0.574
"AP2A1"	"RAB11B"	0.567
"AP2A1"	"PIP5K1C"	0.441
"AP2A1"	"RPL13A"	0.415
"AP2A1"	"BIN2"	0.66
"AP2A1"	"EPN3"	1
"AKT1"	"ARF1"	0.639
"AKT1"	"ARRB2"	0.614
"AKT1"	"BAD"	0.651
"AKT1"	"ZFP36L1"	0.618
"AKT1"	"CAMK2A"	0.763
"AKT1"	"CRK"	0.539
"AKT1"	"CSK"	0.738
"AKT1"	"DDOST"	0.553
"AKT1"	"EEF2"	0.591
"AKT1"	"EGR1"	0.558
"AKT1"	"EIF4EBP1"	0.535
"AKT1"	"FOXM1"	0.591
"AKT1"	"FLII"	0.579
"AKT1"	"GATA2"	0.57
