"AKT1"	"FOXM1"	"WDTC1"	"STAT3"	"STK11"	"HRAS"	"NPM1"	"SP1"	"EGR1"
"RPL11"	"SDSL"	"RPL35"	"RPL27A"	"EEF1G"	"RPL8"	"RPS23"	"RPL32"	"RPL18"	"RPL36AL"	"RPL10"	"RPL13A"	"RPS9"	"RPL4"	"RPL7"	"RPS2"	"RPL30"	"RPLP0"	"RPLP2"	"RPL14"	"RPL37A"	"RPL15"	"EEF2"	"RPS21"	"RPL41"	"RPL37"	"SEC61A1"	"RPN1"	"DDOST"	"SMG6"	"EIF5A"	"MRPL16"	"MRPS12"	"GSPT2"	"EXOSC5"	"EXOSC3"	"EXOSC7"	"MPHOSPH6"	"EIF4A2"
"TNF"	"TNFRSF13B"	"CD22"	"CD79A"	"SPN"	"SELL"	"IL7R"	"CD7"
"GNB1"	"PLCB2"	"GNB2"	"GNAI2"	"DIRAS2"	"PIK3R5"	"RTN4RL2"	"LRG1"	"PLCB3"
"PLK1"	"RRM2"	"PKMYT1"	"CDC25A"	"BRSK1"	"PRMT5"
"ACTA1"	"DYNC1H1"	"DNAH11"	"TUBB"	"DYNC1LI1"	"TUBB2B"	"KIFC1"	"KIF25"
"HDAC3"	"MTA1"	"MTA2"	"HIST1H2AC"	"HIST1H2AA"	"SUDS3"	"SAP30"	"SIN3B"	"HINT1"	"FOXK1"
"ARRB2"	"OR4C46"	"OR2Z1"	"OR1M1"
"DNM2"	"MPZ"
"TYRO3"	"RTN4R"
"PCNT"	"TUBGCP2"	"CNTROB"
"PIAS1"	"MSX1"
"CACNA2D4"	"CATSPER3"
"GYS1"	"ISYNA1"
"P2RX3"	"HTR3A"
"TMSB4X"	"TMSB4Y"
"SPARC"	"VEGFB"
"EXT2"	"CHPF"	"B3GAT3"
"TXN2"	"CLPP"
"MCM3AP"	"USP11"
"SRF"	"NFATC4"
"MYL6"	"MYO18B"
"PLAUR"	"MRC2"
"ADAMTS13"	"CFP"	"ADAMTS4"
"CD68"	"CD207"
"BAZ1B"	"WAC"
"PHC1"	"PCGF6"
"ZNHIT1"	"ANP32E"
"POU3F4"	"RFXANK"	"NKX6-2"
"VPS28"	"VPS37C"
"RHPN1"	"USP2"
"CNGA2"	"CNGB1"
"LY6H"	"LY6E"
"CDA"	"CES2"
"KCNK3"	"KCNK9"	"UNC93A"
"GABARAP"	"WDR81"
"C8G"	"LCN1"
