"ENTREZID","SYMBOL"
"9326","ZNHIT3"
"115650","TNFRSF13C"
"55299","BRIX1"
"733","C8G"
"79802","HHIPL2"
"255394","TCP11L2"
"146540","ZNF785"
"57127","RHBG"
"388662","SLC6A17"
"7173","TPO"
"9980","DOPEY2"
"387680","WASHC2A"
"6790","AURKA"
"55002","TMCO3"
"81796","SLCO5A1"
"10671","DCTN6"
"23620","NTSR2"
"51091","SEPSECS"
"143","PARP4"
"27330","RPS6KA6"
"85013","TMEM128"
"9538","EI24"
"256329","LMNTD2"
"84779","NAA11"
"11103","KRR1"
"10130","PDIA6"
"346673","STRA8"
"841","CASP8"
"1039","CDR2"
"920","CD4"
"1439","CSF2RB"
"302","ANXA2"
"22943","DKK1"
"134391","GPR151"
"5330","PLCB2"
"9341","VAMP3"
"80830","APOL6"
"51569","UFM1"
"474170","LRRC37A2"
"80316","PPP1R2P9"
"340273","ABCB5"
"90485","ZNF835"
"160762","CCDC63"
"30","ACAA1"
"4481","MSR1"
"54659","UGT1A3"
"1364","CLDN4"
"11034","DSTN"
"79912","PYROXD1"
"64780","MICAL1"
"3036","HAS1"
"3608","ILF2"
"26115","TANC2"
"342371","ATXN1L"
"400682","LOC400682"
"1908","EDN3"
"140460","ASB7"
"196441","ZFC3H1"
"341152","OR2AT4"
"58497","PRUNE1"
"165631","PARP15"
"55216","NKAPD1"
"11160","ERLIN2"
"80231","CXorf21"
"259197","NCR3"
"2063","NR2F6"
"4170","MCL1"
"84986","ARHGAP19"
"65010","SLC26A6"
"55839","CENPN"
"63947","DMRTC1"
"390748","PABPN1L"
"1797","DXO"
"254295","PHYHD1"
"7128","TNFAIP3"
"55763","EXOC1"
"11144","DMC1"
"10672","GNA13"
"64745","METTL17"
"3340","NDST1"
"10018","BCL2L11"
"375307","CATIP"
"1365","CLDN3"
"10951","CBX1"
"25880","TMEM186"
"26284","ERAL1"
"131118","DNAJC19"
"84869","CBR4"
"3990","LIPC"
"25898","RCHY1"
"79176","FBXL15"
"410","ARSA"
"9172","MYOM2"
"196792","FAM24B"
"401507","FAM74A1"
"2696","GIPR"
"56996","SLC12A9"
"535","ATP6V0A1"
"1290","COL5A2"
"652968","CASTOR1"
"123876","ACSM2A"
"26147","PHF19"
"11332","ACOT7"
"363","AQP6"
"187","APLNR"
"26267","FBXO10"
"23587","ELP5"
"151963","MB21D2"
"26239","LCE2B"
"3209","HOXA13"
"81618","ITM2C"
"51299","NRN1"
"115548","FCHO2"
"8893","EIF2B5"
"51321","AMZ2"
"3824","KLRD1"
"25939","SAMHD1"
"3685","ITGAV"
"11337","GABARAP"
"720","C4A"
"84445","LZTS2"
"6238","RRBP1"
"84253","GARNL3"
"286046","XKR6"
"1060","CENPC"
"3212","HOXB2"
"127829","ARL8A"
"6693","SPN"
"9842","PLEKHM1"
"284459","HKR1"
"58516","SINHCAF"
