"SYMBOL","ENTREZID"
"15 kDa selenoprotein",NA
"15E1.2",NA
"2'-PDE",NA
"3.8-1",NA
"5-HT3c2",NA
"76P",NA
"7A5",NA
"A1BG","1"
"A2BP1",NA
"A2M","2"
"A2ML1","144568"
"A3GALT2","127550"
"A4GALT","53947"
"A4GNT","51146"
"AAA1","100329167"
"AAAS","8086"
"AACS","65985"
"AADAC","13"
"AADACL1",NA
"AADACL2","344752"
"AADAT","51166"
"AAK1","22848"
"AAMP","14"
"AANAT","15"
"AARS","16"
"AARSD1","80755"
"AARSL",NA
"AASDH","132949"
"AASDHPPT","60496"
"AASS","10157"
"AATF","26574"
"AATK","9625"
"ABAT","18"
"ABC1",NA
"ABCA1","19"
"ABCA10","10349"
"ABCA11",NA
"ABCA12","26154"
"ABCA13","154664"
"ABCA2","20"
"ABCA3","21"
"ABCA4","24"
"ABCA5","23461"
"ABCA6","23460"
"ABCA7","10347"
"ABCA8","10351"
"ABCA9","10350"
"ABCB1","5243"
"ABCB10","23456"
"ABCB11","8647"
"ABCB4","5244"
"ABCB5","340273"
"ABCB6","10058"
"ABCB7","22"
"ABCB8","11194"
"ABCB9","23457"
"ABCC1","4363"
"ABCC10","89845"
"ABCC11","85320"
"ABCC12","94160"
"ABCC13","150000"
"ABCC2","1244"
"ABCC3","8714"
"ABCC4","10257"
"ABCC5","10057"
"ABCC6","368"
"ABCC8","6833"
"ABCC9","10060"
"ABCD1","215"
"ABCD2","225"
"ABCD3","5825"
"ABCD4","5826"
"ABCE1","6059"
"ABCF1","23"
"ABCF2","10061"
"ABCF3","55324"
"ABCG1","9619"
"ABCG2","9429"
"ABCG4","64137"
"ABCG5","64240"
"ABCG8","64241"
"ABHD1","84696"
"ABHD10","55347"
"ABHD11","83451"
"ABHD14A","25864"
"ABHD14B","84836"
"ABHD2","11057"
"ABHD3","171586"
"ABHD4","63874"
"ABHD5","51099"
"ABHD6","57406"
"ABHD7",NA
"ABHD8","79575"
"ABHD9",NA
"ABI1","10006"
"ABI2","10152"
"ABI3","51225"
"ABI3BP","25890"
"ABL1","25"
"ABL2","27"
"ABLIM1","3983"
"ABLIM2","84448"
"ABLIM3","22885"
"ABO","28"
"ABP1",NA
"ABR","29"
"ABRA","137735"
"ABT1","29777"
"ABTB1","80325"
"ABTB2","25841"
"ACAA1","30"
"ACAA2","10449"
"ACACA","31"
"ACACB","32"
"ACAD10","80724"
"ACAD11","84129"
"ACAD8","27034"
"ACAD9","28976"
"ACADL","33"
"ACADM","34"
"ACADS","35"
"ACADSB","36"
"ACADVL","37"
"ACAT1","38"
"ACAT2","39"
"ACBD3","64746"
"ACBD4","79777"
"ACBD5","91452"
"ACBD6","84320"
"ACCN1",NA
"ACCN2",NA
"ACCN3",NA
"ACCN4",NA
"ACCN5",NA
"ACD","65057"
"ACE","1636"
"ACE2","59272"
"ACF","387569"
"ACHE","43"
"ACIN1","22985"
"ACLY","47"
"ACMSD","130013"
"ACN9",NA
"ACO1","48"
"ACO2","50"
"ACOT11","26027"
"ACOT12","134526"
"ACOT2","10965"
"ACOT4","122970"
"ACOT7","11332"
"ACOT8","10005"
"ACOT9","23597"
"ACOX1","51"
"ACOX2","8309"
"ACOX3","8310"
"ACOXL","55289"
"ACP1","52"
"ACP2","53"
"ACP5","54"
"ACP6","51205"
"ACPL2",NA
"ACPP","55"
"ACPT",NA
"ACR","49"
"ACRBP","84519"
"ACRC",NA
"ACRV1","56"
"ACSBG1","23205"
"ACSBG2","81616"
"ACSL1","2180"
"ACSL3","2181"
"ACSL4","2182"
"ACSL5","51703"
"ACSL6","23305"
"ACSM1","116285"
"ACSM2",NA
"ACSM3","6296"
"ACSS1","84532"
"ACSS2","55902"
"ACTA1","58"
"ACTA2","59"
"ACTB","60"
"ACTC",NA
"ACTG1","71"
"ACTG2","72"
"ACTL6A","86"
"ACTL6B","51412"
"ACTL7A","10881"
"ACTL7B","10880"
"ACTL8","81569"
"ACTN1","87"
"ACTN2","88"
"ACTN3","89"
"ACTN4","81"
"ACTR10","55860"
"ACTR1A","10121"
"ACTR1B","10120"
"ACTR2","10097"
"ACTR3","10096"
"ACTR3B","57180"
"ACTR5","79913"
"ACTR6","64431"
"ACTR8","93973"
"ACTRT1","139741"
"ACTRT2","140625"
"ACVR1","90"
"ACVR1B","91"
"ACVR1C","130399"
"ACVR2A","92"
"ACVR2B","93"
"ACVRL1","94"
"ACY1","95"
"ACY1L2",NA
"ACY3","91703"
"ACYP1","97"
"ACYP2","98"
"AD031",NA
"AD7C-NTP",NA
"ADA","100"
"ADAL","161823"
"ADAM10","102"
"ADAM11","4185"
"ADAM12","8038"
"ADAM15","8751"
"ADAM17","6868"
"ADAM18","8749"
"ADAM19","8728"
"ADAM2","2515"
"ADAM20","8748"
"ADAM21","8747"
"ADAM22","53616"
"ADAM23","8745"
"ADAM28","10863"
"ADAM29","11086"
"ADAM30","11085"
"ADAM32","203102"
"ADAM33","80332"
"ADAM3A","1587"
"ADAM5","255926"
"ADAM6","8755"
"ADAM7","8756"
"ADAM8","101"
"ADAM9","8754"
"ADAMDEC1","27299"
"ADAMTS1","9510"
"ADAMTS10","81794"
"ADAMTS12","81792"
"ADAMTS13","11093"
"ADAMTS14","140766"
"ADAMTS15","170689"
"ADAMTS16","170690"
"ADAMTS17","170691"
"ADAMTS18","170692"
"ADAMTS19","171019"
"ADAMTS2","9509"
"ADAMTS20","80070"
"ADAMTS3","9508"
"ADAMTS4","9507"
"ADAMTS5","11096"
"ADAMTS6","11174"
"ADAMTS7","11173"
"ADAMTS8","11095"
"ADAMTS9","56999"
"ADAMTSL1","92949"
"ADAMTSL2","9719"
"ADAMTSL3","57188"
"ADAMTSL4","54507"
"ADAMTSL5","339366"
"ADAR","103"
"ADARB1","104"
"ADARB2","105"
"ADAT1","23536"
"ADC",NA
"ADCK1","57143"
"ADCK2","90956"
"ADCK4",NA
"ADCK5","203054"
"ADCY1","107"
"ADCY2","108"
"ADCY3","109"
"ADCY4","196883"
"ADCY5","111"
"ADCY6","112"
"ADCY7","113"
"ADCY8","114"
"ADCY9","115"
"ADCYAP1","116"
"ADCYAP1R1","117"
"ADD1","118"
"ADD2","119"
"ADD3","120"
"ADFP",NA
"ADH1A","124"
"ADH1B","125"
"ADH1C","126"
"ADH4","127"
"ADH5","128"
"ADH6","130"
"ADH7","131"
"ADHFE1","137872"
"ADI1","55256"
"ADIPOQ","9370"
"ADIPOR1","51094"
"ADIPOR2","79602"
"ADK","132"
"ADM","133"
"ADM2","79924"
"ADMR",NA
"ADNP","23394"
"ADORA1","134"
"ADORA2A","135"
"ADORA2B","136"
"ADORA3","140"
"ADPGK","83440"
"ADPN",NA
"ADPRH","141"
"ADPRHL1","113622"
"ADPRHL2","54936"
"ADRA1A","148"
"ADRA1B","147"
"ADRA1D","146"
"ADRA2A","150"
"ADRA2B","151"
"ADRA2C","152"
"ADRB1","153"
"ADRB2","154"
"ADRB3","155"
"ADRBK1",NA
"ADRBK2",NA
"ADRM1","11047"
"ADSL","158"
"ADSS","159"
"ADSSL1","122622"
"AEBP1","165"
"AEBP2","121536"
"AER61",NA
"AES","166"
"AFAP",NA
"AFAR3",NA
"AFARP1",NA
"AFF1","4299"
"AFF2","2334"
"AFF3","3899"
"AFF4","27125"
"AFG3L1",NA
"AFG3L2","10939"
"AFM","173"
"AFMID","125061"
"AFP","174"
"AFTIPHILIN",NA
"AGA","175"
"AGBL2","79841"
"AGBL3","340351"
"AGBL4","84871"
"AGC1",NA
"AGER","177"
"AGGF1","55109"
"AGL","178"
"AGMAT","79814"
"AGPAT1","10554"
"AGPAT2","10555"
"AGPAT3","56894"
