"symbol1","symbol2","MF","BP","CC"
"ATP5G2","COX5A",NA,NA,NA
"ENTPD2","POLR2L",0.557,0.498,0.467
"FRG1","RPS9",0.743,0.726,0.619
"GLUD2","COX5A",0.285,0.625,0.872
"HCFC1","ANAPC2",1,0.227,0.684
"NFKBIB","POLR2L",0.465,0.659,1
"NFKBIB","S100A8",0.546,0.464,1
"POLR2L","RPS9",0.461,0.496,0.752
"POLR2L","ARPC1B",0.465,0.147,0.525
"POLR2L","ANAPC2",1,0.094,0.744
"POLR2L","YIF1B",NA,0.282,0.445
"RPS9","COX5A",0.545,0.184,0.481
"RPS9","ARPC1B",0.662,0.189,0.756
"RPS9","GSPT2",0.698,0.658,0.614
"RPS9","ANAPC2",1,0.199,0.732
"RPS9","ISYNA1",0.541,0.101,0.764
"SIX3","LHX2",1,0.799,NA
"TNFSF13","TNFRSF13B",0.811,0.625,0.76
"RABAC1","YIF1B",NA,NA,0.755
"ANAPC2","VPS28",1,0.229,0.649
"ANAPC2","PCGF6",1,0.145,0.833
