"symbol1","symbol2","MF","BP","CC"
"REM1","GSTZ1",0.148,NA,0.356
"REM1","LRRC24",NA,NA,0.235
"REM1","ISLR2",NA,NA,0.53
"REM1","LRRK1",0.148,NA,0.356
"REM1","PLEKHG5",0.066,NA,0.425
"REM1","LRRC38",0.124,NA,0.611
"CDC34","UBE2E3",1,0.628,0.918
"CDC34","FBXL2",0.866,0.704,0.487
"CDC34","CBL",0.76,0.541,0.539
"CDC34","UBL4B",1,0.08,NA
"CDC34","ZNRF3",0.878,0.668,0.28
"GSTZ1","EEF1D",0.515,0.28,0.794
"GSTZ1","MPO",0.453,0.213,0.58
"PCK2","CRTC2",0.551,0.288,0.655
"PCK2","RETN",NA,0.156,0.368
"SLC17A7","GABBR2",0.155,0.325,0.479
"AMH","INHBE",0.779,0.353,1
"RETN","SP1",NA,0.092,0.353
"HOXA2","HIST1H2BN",0.428,0.082,0.672
"SNX17","LDLR",0.62,0.284,0.71
"TBX4","DUX4",0.531,0.322,NA
"ACADS","TXNRD2",0.3,0.123,0.825
"F2RL3","ARRB1",0.143,0.467,0.412
"F2RL3","AVPR1B",0.776,0.495,0.749
"F2RL3","CHRM1",1,0.587,0.76
"SHFM1","FHL2",NA,NA,NA
"SHFM1","DYNC1I1",NA,NA,NA
"SHFM1","NFKBIE",NA,NA,NA
"IRAK2","PELI3",0.792,0.571,1
"ITIH5","KIAA1549",NA,NA,0
"ADAMTS8","ADAMTS15",NA,NA,NA
"USP37","UBL4B",1,0.066,NA
"USP37","RHPN1",1,NA,0.413
"DPEP1","SAMM50",1,0.129,0.524
"DGCR8","CDT1",0.655,0.445,0.845
"SPTBN4","SPTBN2",0.724,0.571,0.523
"SPTBN4","DYNC1I1",0.588,0.307,0.551
"SPTBN4","CABP4",0.511,0.286,0.517
"CBL","UBE2E3",0.76,0.275,0.501
"CBL","LDLR",0.534,0.301,0.635
"CBL","ARRB1",0.55,0.581,0.657
"CBL","CD79B",0.575,0.498,0.706
"CBL","CBLC",0.731,0.737,0.69
"TRPV5","TRPM1",1,0.462,0.92
"TRPV5","VDR",0.335,0.132,0.226
"MAD1L1","PMF1",0.703,0.247,0.689
"MAD1L1","CENPH",0.963,0.161,0.729
"INHBE","BMPER",NA,0.495,1
"INHBE","TGFB2",0.766,0.427,1
"ASGR1","CLEC1B",1,0.246,1
"ASGR1","ITIH3",1,0.364,0.172
"CBX4","HIST1H2BN",0.367,0.101,0.736
"NFKBIE","CARD11",1,0.133,0.632
"CENPH","HIST1H2BN",0.367,0.507,0.855
"CENPH","PMF1",0.681,0.142,0.878
"UCHL1","BCS1L",1,0.078,0.487
"UCHL1","KRT4",1,0.138,0.648
"MYO1A","RAC3",NA,0.087,0.66
"MYO1A","CABP4",NA,0.315,0.384
"EPB42","ALAS2",0.484,NA,0.511
"EPB42","HBD",0.532,NA,0.413
"CDT1","LMNB2",0.669,0.329,0.624
"RILP","HLA-DRA",0.603,0.269,0.573
"RILP","SPTBN2",0.433,0.558,0.494
"RILP","DYNC1I1",0.562,0.515,0.669
"KCNAB3","KCNH6",0.05,0.64,1
"RAC3","PLEKHG5",0.182,0.475,0.591
"RAC3","ARHGAP10",0.548,0.502,1
"CHRM1","AVPR1B",0.475,0.518,0.733
"CHRM1","ARRB1",0.127,0.506,0.427
"CHRM1","SP1",0.117,0.219,0.265
"CHRM1","LAMB2",0.171,0.383,0.209
"DNAI2","DYNC1I1",0.929,0.463,0.614
"BRSK1","RIMS2",0.338,0.497,0.486
"SPTBN2","DYNC1I1",0.359,0.641,0.576
"SPTBN2","CABP4",0.347,0.252,0.591
"SPTBN2","HLA-DRA",0.375,0.384,0.36
"OR1E1","ARRB1",0.143,0.269,1
"DYNC1I1","HLA-DRA",0.5,0.354,0.457
"LPA","LDLR",0.543,0.272,0.212
"FHL2","SP1",0.535,0.487,0.613
"CABP4","UBL4B",0.815,0.135,NA
"CABP4","CACNA1E",0.053,0.238,0.356
"IGLL1","CD79B",0.596,0.542,0.474
"SP1","VDR",0.756,0.53,0.792
"SP1","POU2F1",0.845,0.581,0.742
"SP1","NR1H3",0.794,0.399,0.814
"HIST1H2AK","HIST1H2BN",1,0.315,0.797
"ALAS2","GNMT",0.684,0.297,0.606
"ALAS2","HBD",0.547,0.219,0.392
"UBL4B","UBE2E3",1,0.024,NA
"PDCD1","HLA-DRA",1,0.322,1
"OR1J2","ARRB1",NA,1,1
"SAMM50","STK32A",0.128,0.135,NA
"TGFB2","ITIH3",0.638,1,0.56
"DNTTIP1","WIBG",NA,NA,NA
"OR5C1","ARRB1",0.367,0.269,1
"ZNF593","MTG1",0.129,0.214,0.59
"IDH3B","TXNRD2",0.34,0.248,0.849
"LRRK1","CARD11",0.725,0.435,0.591
"UBE2E3","ZNRF3",0.878,0.531,0.288
"CD79B","CARD11",0.683,0.542,0.746
"HIST1H2BN","SUPT5H",0.75,0.161,0.738
"NR1H3","LDLR",0.448,0.479,0.538
"EEF1D","SUPT5H",0.828,0.363,0.717
"ARRB1","LDLR",0.564,0.334,0.642
"ARRB1","OR7G1",0.143,1,1
