"symbol1","symbol2","MF","BP","CC"
"REM1","GSTZ1",0.046,NA,0.022
"REM1","LRRC24",NA,NA,0
"REM1","ISLR2",NA,NA,0.022
"REM1","LRRK1",0.046,NA,0.022
"REM1","PLEKHG5",0.046,NA,0.022
"REM1","LRRC38",0.046,NA,0.187
"CDC34","UBE2E3",0.379,0.316,0.222
"CDC34","FBXL2",0.227,0.305,0.054
"CDC34","CBL",0.198,0.276,0.098
"CDC34","UBL4B",0.095,0.095,NA
"CDC34","ZNRF3",0.271,0.302,0.022
"GSTZ1","EEF1D",0.052,0.249,0.157
"GSTZ1","MPO",0.186,0.197,0.102
"PCK2","CRTC2",0.055,0.275,0.123
"PCK2","RETN",NA,0.115,0.11
"SLC17A7","GABBR2",0,0.13,0.153
"AMH","INHBE",0.348,0.237,0.259
"RETN","SP1",NA,0.176,0.095
"HOXA2","HIST1H2BN",0.256,0.079,0.106
"SNX17","LDLR",0.071,0.24,0.223
"TBX4","DUX4",0.224,0.093,NA
"ACADS","TXNRD2",0.241,0.029,0.242
"F2RL3","ARRB1",0,0.293,0.076
"F2RL3","AVPR1B",0.364,0.261,0.175
"F2RL3","CHRM1",0.364,0.279,0.166
"SHFM1","FHL2",NA,NA,NA
"SHFM1","DYNC1I1",NA,NA,NA
"SHFM1","NFKBIE",NA,NA,NA
"IRAK2","PELI3",0.196,0.317,0.227
"ITIH5","KIAA1549",NA,NA,NA
"ADAMTS8","ADAMTS15",NA,NA,NA
"USP37","UBL4B",0.095,0.095,NA
"USP37","RHPN1",0.095,NA,0.046
"DPEP1","SAMM50",0.095,0.053,0.146
"DGCR8","CDT1",0.119,0.222,0.177
"SPTBN4","SPTBN2",0.289,0.308,0.217
"SPTBN4","DYNC1I1",0.2,0.161,0.143
"SPTBN4","CABP4",0.079,0.17,0.202
"CBL","UBE2E3",0.198,0.131,0.097
"CBL","LDLR",0.085,0.249,0.202
"CBL","ARRB1",0.12,0.321,0.184
"CBL","CD79B",0.067,0.192,0.23
"CBL","CBLC",0.334,0.382,0.237
"TRPV5","TRPM1",0.505,0.306,0.256
"TRPV5","VDR",0.037,0.109,0.019
"MAD1L1","PMF1",0.071,0.322,0.259
"MAD1L1","CENPH",0.388,0.233,0.248
"INHBE","BMPER",NA,0.308,0.259
"INHBE","TGFB2",0.367,0.214,0.259
"ASGR1","CLEC1B",0.095,0.088,0.187
"ASGR1","ITIH3",0.095,0.305,0.013
"CBX4","HIST1H2BN",0.046,0.102,0.172
"NFKBIE","CARD11",0.095,0.47,0.103
"CENPH","HIST1H2BN",0.046,0.355,0.221
"CENPH","PMF1",0.066,0.034,0.271
"UCHL1","BCS1L",0.095,0.034,0.113
"UCHL1","KRT4",0.095,0.08,0.12
"MYO1A","RAC3",NA,0.035,0.223
"MYO1A","CABP4",NA,0.201,0.089
"EPB42","ALAS2",0.128,NA,0.074
"EPB42","HBD",0.136,NA,0.046
"CDT1","LMNB2",0.095,NA,0.19
"RILP","HLA-DRA",0.071,0.257,0.274
"RILP","SPTBN2",0.219,0.318,0.127
"RILP","DYNC1I1",0.071,0.247,0.21
"KCNAB3","KCNH6",0,0.484,0.187
"RAC3","PLEKHG5",0.154,0.22,0.133
"RAC3","ARHGAP10",0.061,0.273,0.227
"CHRM1","AVPR1B",0.248,0.229,0.169
"CHRM1","ARRB1",0,0.219,0.08
"CHRM1","SP1",0,0.18,0.015
"CHRM1","LAMB2",0,0.063,0.009
"DNAI2","DYNC1I1",0.489,0.262,0.292
"BRSK1","RIMS2",0.059,0.362,0.334
"SPTBN2","DYNC1I1",0.06,0.39,0.166
"SPTBN2","CABP4",0.066,0.091,0.127
"SPTBN2","HLA-DRA",0.054,0.328,0.136
"OR1E1","ARRB1",0,0.12,0.187
"DYNC1I1","HLA-DRA",0.055,0.317,0.175
"LPA","LDLR",0.058,0.219,0.028
"FHL2","SP1",0.149,0.275,0.132
"CABP4","UBL4B",0.095,0.095,NA
"CABP4","CACNA1E",0,0.082,0.022
"IGLL1","CD79B",0.083,0.31,0.272
"SP1","VDR",0.254,0.298,0.193
"SP1","POU2F1",0.238,0.317,0.175
"SP1","NR1H3",0.258,0.269,0.225
"HIST1H2AK","HIST1H2BN",0.256,0.373,0.252
"ALAS2","GNMT",0.348,0.181,0.113
"ALAS2","HBD",0.237,0.24,0.081
"UBL4B","UBE2E3",0.095,0.034,NA
"PDCD1","HLA-DRA",0.095,0.243,0.187
"OR1J2","ARRB1",NA,0.349,0.187
"SAMM50","STK32A",0,0.034,NA
"TGFB2","ITIH3",0.126,0.59,0.245
"DNTTIP1","WIBG",NA,NA,NA
"OR5C1","ARRB1",0.033,0.12,0.187
"ZNF593","MTG1",0,0.128,0.192
"IDH3B","TXNRD2",0.321,0.034,0.249
"LRRK1","CARD11",0.076,0.281,0.11
"UBE2E3","ZNRF3",0.271,0.238,0.022
"CD79B","CARD11",0.076,0.301,0.193
"HIST1H2BN","SUPT5H",0.205,0.13,0.167
"NR1H3","LDLR",0.045,0.397,0.11
"EEF1D","SUPT5H",0.166,0.193,0.139
"ARRB1","LDLR",0.088,0.292,0.201
"ARRB1","OR7G1",0,0.349,0.187
