"symbol1","symbol2","MF","BP","CC"
"REM1","GSTZ1",0.164,NA,0.107
"REM1","LRRC24",NA,NA,0
"REM1","ISLR2",NA,NA,0.076
"REM1","LRRK1",0.164,NA,0.107
"REM1","PLEKHG5",0.101,NA,0.155
"REM1","LRRC38",0.09,NA,0.729
"CDC34","UBE2E3",1,0.625,0.905
"CDC34","FBXL2",0.754,0.701,0.305
"CDC34","CBL",0.617,0.525,0.392
"CDC34","UBL4B",1,0.134,NA
"CDC34","ZNRF3",0.847,0.626,0.106
"GSTZ1","EEF1D",0.331,0.391,0.597
"GSTZ1","MPO",0.317,0.286,0.367
"PCK2","CRTC2",0.389,0.452,0.511
"PCK2","RETN",NA,0.264,0.238
"SLC17A7","GABBR2",0,0.249,0.505
"AMH","INHBE",0.735,0.489,1
"RETN","SP1",NA,0.321,0.239
"HOXA2","HIST1H2BN",0.744,0.2,0.637
"SNX17","LDLR",0.356,0.416,0.667
"TBX4","DUX4",0.672,0.278,NA
"ACADS","TXNRD2",0.306,0.047,0.748
"F2RL3","ARRB1",0,0.524,0.331
"F2RL3","AVPR1B",0.623,0.559,0.68
"F2RL3","CHRM1",1,0.6,0.692
"SHFM1","FHL2",NA,NA,NA
"SHFM1","DYNC1I1",NA,NA,NA
"SHFM1","NFKBIE",NA,NA,NA
"IRAK2","PELI3",0.75,0.555,1
"ITIH5","KIAA1549",NA,NA,NA
"ADAMTS8","ADAMTS15",NA,NA,NA
"USP37","UBL4B",1,0.147,NA
"USP37","RHPN1",1,NA,0.248
"DPEP1","SAMM50",1,0.085,0.505
"DGCR8","CDT1",0.458,0.305,0.733
"SPTBN4","SPTBN2",0.574,0.65,0.506
"SPTBN4","DYNC1I1",0.479,0.313,0.419
"SPTBN4","CABP4",0.18,0.343,0.461
"CBL","UBE2E3",0.617,0.282,0.392
"CBL","LDLR",0.305,0.431,0.532
"CBL","ARRB1",0.332,0.605,0.617
"CBL","CD79B",0.351,0.446,0.682
"CBL","CBLC",0.619,0.727,0.628
"TRPV5","TRPM1",1,0.569,0.925
"TRPV5","VDR",0.192,0.195,0.085
"MAD1L1","PMF1",0.462,0.545,0.595
"MAD1L1","CENPH",0.891,0.336,0.643
"INHBE","BMPER",NA,0.562,1
"INHBE","TGFB2",0.661,0.445,1
"ASGR1","CLEC1B",1,0.163,1
"ASGR1","ITIH3",1,0.565,0.027
"CBX4","HIST1H2BN",0.262,0.259,0.649
"NFKBIE","CARD11",1,0.714,0.528
"CENPH","HIST1H2BN",0.262,0.586,0.833
"CENPH","PMF1",0.463,0.068,0.82
"UCHL1","BCS1L",1,0.068,0.39
"UCHL1","KRT4",1,0.15,0.511
"MYO1A","RAC3",NA,0.075,0.544
"MYO1A","CABP4",NA,0.356,0.237
"EPB42","ALAS2",0.483,NA,0.264
"EPB42","HBD",0.434,NA,0.185
"CDT1","LMNB2",1,NA,0.519
"RILP","HLA-DRA",0.395,0.396,0.588
"RILP","SPTBN2",0.502,0.605,0.34
"RILP","DYNC1I1",0.33,0.414,0.564
"KCNAB3","KCNH6",0,0.98,1
"RAC3","PLEKHG5",0.356,0.453,0.481
"RAC3","ARHGAP10",0.4,0.619,1
"CHRM1","AVPR1B",0.376,0.486,0.703
"CHRM1","ARRB1",0,0.521,0.376
"CHRM1","SP1",0,0.387,0.068
"CHRM1","LAMB2",0,0.22,0.023
"DNAI2","DYNC1I1",0.887,0.492,0.509
"BRSK1","RIMS2",0.143,0.634,0.609
"SPTBN2","DYNC1I1",0.151,0.735,0.394
"SPTBN2","CABP4",0.131,0.27,0.51
"SPTBN2","HLA-DRA",0.163,0.532,0.342
"OR1E1","ARRB1",0,0.273,1
"DYNC1I1","HLA-DRA",0.271,0.499,0.4
"LPA","LDLR",0.283,0.387,0.049
"FHL2","SP1",0.44,0.614,0.555
"CABP4","UBL4B",0.294,0.215,NA
"CABP4","CACNA1E",0,0.259,0.107
"IGLL1","CD79B",0.22,0.678,0.632
"SP1","VDR",0.703,0.613,0.695
"SP1","POU2F1",0.731,0.686,0.709
"SP1","NR1H3",0.734,0.515,0.73
"HIST1H2AK","HIST1H2BN",1,0.83,0.828
"ALAS2","GNMT",0.712,0.28,0.442
"ALAS2","HBD",0.544,0.4,0.258
"UBL4B","UBE2E3",1,0.063,NA
"PDCD1","HLA-DRA",1,0.487,1
"OR1J2","ARRB1",NA,1,1
"SAMM50","STK32A",0,0.071,NA
"TGFB2","ITIH3",0.475,1,0.657
"DNTTIP1","WIBG",NA,NA,NA
"OR5C1","ARRB1",0.068,0.273,1
"ZNF593","MTG1",0,0.224,0.466
"IDH3B","TXNRD2",0.477,0.052,0.774
"LRRK1","CARD11",0.536,0.482,0.462
"UBE2E3","ZNRF3",0.847,0.51,0.099
"CD79B","CARD11",0.522,0.567,0.691
"HIST1H2BN","SUPT5H",0.757,0.289,0.667
"NR1H3","LDLR",0.227,0.636,0.337
"EEF1D","SUPT5H",0.64,0.362,0.58
"ARRB1","LDLR",0.318,0.51,0.587
"ARRB1","OR7G1",0,1,1
