"symbol1","symbol2","MF","BP","CC"
"REM1","GSTZ1",0.531,NA,0.631
"REM1","LRRC24",NA,NA,0.554
"REM1","ISLR2",NA,NA,0.468
"REM1","LRRK1",0.531,NA,0.631
"REM1","PLEKHG5",0.18,NA,0.76
"REM1","LRRC38",0.075,NA,0.861
"CDC34","UBE2E3",1,0.633,0.945
"CDC34","FBXL2",0.801,0.688,0.703
"CDC34","CBL",0.759,0.511,0.631
"CDC34","UBL4B",1,0.131,NA
"CDC34","ZNRF3",0.875,0.589,0.604
"GSTZ1","EEF1D",0.499,0.261,0.776
"GSTZ1","MPO",0.403,0.213,0.655
"PCK2","CRTC2",0.465,0.412,0.756
"PCK2","RETN",NA,0.358,0.488
"SLC17A7","GABBR2",0.143,0.257,0.553
"AMH","INHBE",0.757,0.555,1
"RETN","SP1",NA,0.332,0.511
"HOXA2","HIST1H2BN",0.824,0.294,0.836
"SNX17","LDLR",0.53,0.36,0.798
"TBX4","DUX4",0.807,0.483,NA
"ACADS","TXNRD2",0.141,0,0.896
"F2RL3","ARRB1",0.541,0.585,0.689
"F2RL3","AVPR1B",0.559,0.565,0.851
"F2RL3","CHRM1",1,0.681,0.862
"SHFM1","FHL2",NA,NA,NA
"SHFM1","DYNC1I1",NA,NA,NA
"SHFM1","NFKBIE",NA,NA,NA
"IRAK2","PELI3",0.846,0.512,1
"ITIH5","KIAA1549",NA,NA,NA
"ADAMTS8","ADAMTS15",NA,NA,NA
"USP37","UBL4B",1,0,NA
"USP37","RHPN1",1,NA,0.72
"DPEP1","SAMM50",1,0.013,0.688
"DGCR8","CDT1",0.61,0.127,0.812
"SPTBN4","SPTBN2",0.606,0.619,0.608
"SPTBN4","DYNC1I1",0.613,0.301,0.589
"SPTBN4","CABP4",0.257,0.432,0.574
"CBL","UBE2E3",0.759,0.33,0.595
"CBL","LDLR",0.51,0.421,0.643
"CBL","ARRB1",0.552,0.599,0.747
"CBL","CD79B",0.629,0.563,0.751
"CBL","CBLC",0.698,0.758,0.791
"TRPV5","TRPM1",1,0.515,0.939
"TRPV5","VDR",0.454,0.239,0.534
"MAD1L1","PMF1",0.615,0.563,0.681
"MAD1L1","CENPH",0.954,0.183,0.703
"INHBE","BMPER",NA,0.575,1
"INHBE","TGFB2",0.686,0.459,1
"ASGR1","CLEC1B",1,0.243,1
"ASGR1","ITIH3",1,0.531,0.447
"CBX4","HIST1H2BN",0.741,0.399,0.763
"NFKBIE","CARD11",1,0.623,0.741
"CENPH","HIST1H2BN",0.741,0.528,0.875
"CENPH","PMF1",0.584,0.068,0.88
"UCHL1","BCS1L",1,0.079,0.655
"UCHL1","KRT4",1,0.184,0.73
"MYO1A","RAC3",NA,0.125,0.71
"MYO1A","CABP4",NA,0.504,0.441
"EPB42","ALAS2",0.583,NA,0.589
"EPB42","HBD",0.527,NA,0.593
"CDT1","LMNB2",1,NA,0.657
"RILP","HLA-DRA",0.544,0.373,0.674
"RILP","SPTBN2",0.61,0.61,0.574
"RILP","DYNC1I1",0.528,0.388,0.675
"KCNAB3","KCNH6",0,0.981,1
"RAC3","PLEKHG5",0.428,0.498,0.709
"RAC3","ARHGAP10",0.65,0.663,1
"CHRM1","AVPR1B",0.254,0.552,0.843
"CHRM1","ARRB1",0.223,0.598,0.721
"CHRM1","SP1",0.233,0.452,0.553
"CHRM1","LAMB2",0.113,0.451,0.402
"DNAI2","DYNC1I1",0.921,0.488,0.555
"BRSK1","RIMS2",0.414,0.6,0.716
"SPTBN2","DYNC1I1",0.218,0.747,0.552
"SPTBN2","CABP4",0.152,0.488,0.647
"SPTBN2","HLA-DRA",0.309,0.585,0.5
"OR1E1","ARRB1",0.449,0.321,1
"DYNC1I1","HLA-DRA",0.446,0.497,0.564
"LPA","LDLR",0.469,0.37,0.368
"FHL2","SP1",0.691,0.606,0.684
"CABP4","UBL4B",0.587,0.303,NA
"CABP4","CACNA1E",0.042,0.448,0.631
"IGLL1","CD79B",0.411,0.727,0.814
"SP1","VDR",0.743,0.594,0.728
"SP1","POU2F1",0.806,0.675,0.777
"SP1","NR1H3",0.808,0.463,0.789
"HIST1H2AK","HIST1H2BN",1,0.847,0.906
"ALAS2","GNMT",0.676,0.248,0.714
"ALAS2","HBD",0.538,0.315,0.419
"UBL4B","UBE2E3",1,0,NA
"PDCD1","HLA-DRA",1,0.456,1
"OR1J2","ARRB1",NA,1,1
"SAMM50","STK32A",0.521,0.108,NA
"TGFB2","ITIH3",0.619,1,0.718
"DNTTIP1","WIBG",NA,NA,NA
"OR5C1","ARRB1",0.171,0.321,1
"ZNF593","MTG1",0.437,0.159,0.611
"IDH3B","TXNRD2",0.344,0,0.917
"LRRK1","CARD11",0.646,0.397,0.665
"UBE2E3","ZNRF3",0.875,0.496,0.592
"CD79B","CARD11",0.632,0.608,0.788
"HIST1H2BN","SUPT5H",0.869,0.322,0.779
"NR1H3","LDLR",0.506,0.603,0.637
"EEF1D","SUPT5H",0.765,0.295,0.763
"ARRB1","LDLR",0.491,0.465,0.757
"ARRB1","OR7G1",0.449,1,1
