"symbol1","symbol2"
"REM1","GSTZ1"
"REM1","LRRC24"
"REM1","ISLR2"
"REM1","LRRK1"
"REM1","PLEKHG5"
"REM1","LRRC38"
"CDC34","UBE2E3"
"CDC34","FBXL2"
"CDC34","CBL"
"CDC34","UBL4B"
"CDC34","ZNRF3"
"GSTZ1","EEF1D"
"GSTZ1","MPO"
"PCK2","CRTC2"
"PCK2","RETN"
"SLC17A7","GABBR2"
"AMH","INHBE"
"RETN","SP1"
"HOXA2","HIST1H2BN"
"SNX17","LDLR"
"TBX4","DUX4"
"ACADS","TXNRD2"
"F2RL3","ARRB1"
"F2RL3","AVPR1B"
"F2RL3","CHRM1"
"SHFM1","FHL2"
"SHFM1","DYNC1I1"
"SHFM1","NFKBIE"
"IRAK2","PELI3"
"ITIH5","KIAA1549"
"ADAMTS8","ADAMTS15"
"USP37","UBL4B"
"USP37","RHPN1"
"DPEP1","SAMM50"
"DGCR8","CDT1"
"SPTBN4","SPTBN2"
"SPTBN4","DYNC1I1"
"SPTBN4","CABP4"
"CBL","UBE2E3"
"CBL","LDLR"
"CBL","ARRB1"
"CBL","CD79B"
"CBL","CBLC"
"TRPV5","TRPM1"
"TRPV5","VDR"
"MAD1L1","PMF1"
"MAD1L1","CENPH"
"INHBE","BMPER"
"INHBE","TGFB2"
"ASGR1","CLEC1B"
"ASGR1","ITIH3"
"CBX4","HIST1H2BN"
"NFKBIE","CARD11"
"CENPH","HIST1H2BN"
"CENPH","PMF1"
"UCHL1","BCS1L"
"UCHL1","KRT4"
"MYO1A","RAC3"
"MYO1A","CABP4"
"EPB42","ALAS2"
"EPB42","HBD"
"CDT1","LMNB2"
"RILP","HLA-DRA"
"RILP","SPTBN2"
"RILP","DYNC1I1"
"KCNAB3","KCNH6"
"RAC3","PLEKHG5"
"RAC3","ARHGAP10"
"CHRM1","AVPR1B"
"CHRM1","ARRB1"
"CHRM1","SP1"
"CHRM1","LAMB2"
"DNAI2","DYNC1I1"
"BRSK1","RIMS2"
"SPTBN2","DYNC1I1"
"SPTBN2","CABP4"
"SPTBN2","HLA-DRA"
"OR1E1","ARRB1"
"DYNC1I1","HLA-DRA"
"LPA","LDLR"
"FHL2","SP1"
"CABP4","UBL4B"
"CABP4","CACNA1E"
"IGLL1","CD79B"
"SP1","VDR"
"SP1","POU2F1"
"SP1","NR1H3"
"HIST1H2AK","HIST1H2BN"
"ALAS2","GNMT"
"ALAS2","HBD"
"UBL4B","UBE2E3"
"PDCD1","HLA-DRA"
"OR1J2","ARRB1"
"SAMM50","STK32A"
"TGFB2","ITIH3"
"DNTTIP1","WIBG"
"OR5C1","ARRB1"
"ZNF593","MTG1"
"IDH3B","TXNRD2"
"LRRK1","CARD11"
"UBE2E3","ZNRF3"
"CD79B","CARD11"
"HIST1H2BN","SUPT5H"
"NR1H3","LDLR"
"EEF1D","SUPT5H"
"ARRB1","LDLR"
"ARRB1","OR7G1"
