"entrez1","entrez2"
"35","126129"
"35","2676"
"35","8379"
"35","6829"
"35","54897"
"11095","57801"
"11095","51559"
"11095","348932"
"212","51599"
"212","5106"
"212","5797"
"79658","64446"
"79637","1044"
"23786","56986"
"23786","348932"
"168667","259283"
"168667","7345"
"168667","3851"
"168667","1936"
"55028","83729"
"55028","10233"
"79169","23624"
"127795","84077"
"338761","3851"
"338761","5106"
"338761","9196"
"338761","5797"
"84077","81855"
"84077","1936"
"777","1044"
"777","1936"
"777","29952"
"777","2676"
"777","6829"
"54897","9568"
"867","55890"
"8535","81851"
"8535","5157"
"146822","4861"
"1044","4018"
"1044","9784"
"1044","2274"
"1044","8387"
"1044","57801"
"1044","4640"
"1044","54498"
"1044","64090"
"1044","6829"
"1044","2676"
"1044","6667"
"1128","2676"
"57053","2317"
"57053","2676"
"57053","7434"
"51266","6667"
"1207","284252"
"1207","1936"
"1207","112476"
"151835","64446"
"126129","4908"
"200186","10501"
"91319","5797"
"64446","6829"
"64446","1936"
"1775","81033"
"1775","3851"
"1775","653240"
"29952","5348"
"29952","3913"
"29952","202374"
"29952","256987"
"56986","284252"
"1936","284252"
"1936","6712"
"1936","653240"
"1936","85409"
"1936","81851"
"1936","202374"
"1936","3656"
"1936","5157"
"1936","6829"
"1936","8387"
"1936","57030"
"1936","5797"
"2038","81033"
"2137","7345"
"25827","57670"
"25827","84823"
"2317","4018"
"2317","64090"
"2317","6829"
"2317","5986"
"2317","2676"
"2317","7434"
"5348","202374"
"5348","3913"
"9568","8379"
"2676","8387"
"2676","10477"
"2676","81855"
"2676","4018"
"2676","4640"
"2676","4908"
"2676","10501"
"2676","6829"
"2676","7434"
"2676","441381"
"2676","653240"
"2676","388228"
"55890","653240"
"2901","9784"
"9569","6829"
"3199","56654"
"3373","6667"
"3489","6667"
"83729","10233"
"3656","11243"
"57611","4224"
"9196","5106"
"9196","5797"
"81033","3851"
"284252","56302"
"57670","57060"
"57670","84823"
"57670","4908"
"57670","6829"
"3851","126755"
"81851","5157"
"653240","4908"
"653240","348932"
"653240","112476"
"653240","56138"
"3913","202374"
"3913","126755"
"4018","388228"
"4018","6667"
"4018","10501"
"4018","6829"
"4018","7434"
"441381","5797"
"441381","56138"
"441381","259283"
"8379","8387"
"259283","7345"
"259283","29959"
"4224","57731"
"4353","5797"
"5106","5797"
"5157","6667"
"112476","6829"
"5797","6829"
"388228","4308"
