"symbol1"	"symbol2"	"BP"
"REM1"	"GSTZ1"	NA
"REM1"	"LRRC24"	NA
"REM1"	"ISLR2"	NA
"REM1"	"LRRK1"	NA
"REM1"	"PLEKHG5"	NA
"REM1"	"LRRC38"	NA
"CDC34"	"UBE2E3"	0.5435
"CDC34"	"FBXL2"	0.5925
"CDC34"	"CBL"	0.454
"CDC34"	"UBL4B"	0.11275
"CDC34"	"ZNRF3"	0.5315
"GSTZ1"	"EEF1D"	0.3175
"GSTZ1"	"MPO"	0.24025
"PCK2"	"CRTC2"	0.3935
"PCK2"	"RETN"	0.23325
"SLC17A7"	"GABBR2"	0.2175
"AMH"	"INHBE"	0.43175
"RETN"	"SP1"	0.2775
"HOXA2"	"HIST1H2BN"	0.183
"SNX17"	"LDLR"	0.352
"TBX4"	"DUX4"	0.27325
"ACADS"	"TXNRD2"	0.023
"F2RL3"	"ARRB1"	0.47475
"F2RL3"	"AVPR1B"	0.4775
"F2RL3"	"CHRM1"	0.52975
"SHFM1"	"FHL2"	NA
"SHFM1"	"DYNC1I1"	NA
"SHFM1"	"NFKBIE"	NA
"IRAK2"	"PELI3"	0.479
"ITIH5"	"KIAA1549"	NA
"ADAMTS8"	"ADAMTS15"	NA
"USP37"	"UBL4B"	0.0855
"USP37"	"RHPN1"	NA
"DPEP1"	"SAMM50"	0.0495
"DGCR8"	"CDT1"	0.233
"SPTBN4"	"SPTBN2"	0.55175
"SPTBN4"	"DYNC1I1"	0.267
"SPTBN4"	"CABP4"	0.3125
"CBL"	"UBE2E3"	0.247
"CBL"	"LDLR"	0.37625
"CBL"	"ARRB1"	0.527
"CBL"	"CD79B"	0.39775
"CBL"	"CBLC"	0.64125
"TRPV5"	"TRPM1"	0.48525
"TRPV5"	"VDR"	0.1735
"MAD1L1"	"PMF1"	0.4885
"MAD1L1"	"CENPH"	0.2675
"INHBE"	"BMPER"	0.4945
"INHBE"	"TGFB2"	0.381
"ASGR1"	"CLEC1B"	0.15825
"ASGR1"	"ITIH3"	0.48775
"CBX4"	"HIST1H2BN"	0.2395
"NFKBIE"	"CARD11"	0.6295
"CENPH"	"HIST1H2BN"	0.51025
"CENPH"	"PMF1"	0.04825
"UCHL1"	"BCS1L"	0.051
"UCHL1"	"KRT4"	0.12925
"MYO1A"	"RAC3"	0.07525
"MYO1A"	"CABP4"	0.3535
"EPB42"	"ALAS2"	NA
"EPB42"	"HBD"	NA
"CDT1"	"LMNB2"	NA
"RILP"	"HLA-DRA"	0.35225
"RILP"	"SPTBN2"	0.529
"RILP"	"DYNC1I1"	0.3615
"KCNAB3"	"KCNH6"	0.8555
"RAC3"	"PLEKHG5"	0.39725
"RAC3"	"ARHGAP10"	0.5355
"CHRM1"	"AVPR1B"	0.4295
"CHRM1"	"ARRB1"	0.4545
"CHRM1"	"SP1"	0.33825
"CHRM1"	"LAMB2"	0.22475
"DNAI2"	"DYNC1I1"	0.4315
"BRSK1"	"RIMS2"	0.55275
"SPTBN2"	"DYNC1I1"	0.64825
"SPTBN2"	"CABP4"	0.26925
"SPTBN2"	"HLA-DRA"	0.49
"OR1E1"	"ARRB1"	0.23325
"DYNC1I1"	"HLA-DRA"	0.44975
"LPA"	"LDLR"	0.3355
"FHL2"	"SP1"	0.52025
"CABP4"	"UBL4B"	0.1895
"CABP4"	"CACNA1E"	0.2515
"IGLL1"	"CD79B"	0.59
"SP1"	"VDR"	0.52225
"SP1"	"POU2F1"	0.5855
"SP1"	"NR1H3"	0.43375
"HIST1H2AK"	"HIST1H2BN"	0.7175
"ALAS2"	"GNMT"	0.2395
"ALAS2"	"HBD"	0.3325
"UBL4B"	"UBE2E3"	0.0295
"PDCD1"	"HLA-DRA"	0.41025
"OR1J2"	"ARRB1"	0.83325
"SAMM50"	"STK32A"	0.05925
"TGFB2"	"ITIH3"	0.89725
"DNTTIP1"	"WIBG"	NA
"OR5C1"	"ARRB1"	0.23325
"ZNF593"	"MTG1"	0.17675
"IDH3B"	"TXNRD2"	0.02575
"LRRK1"	"CARD11"	0.40625
"UBE2E3"	"ZNRF3"	0.433
"CD79B"	"CARD11"	0.504
"HIST1H2BN"	"SUPT5H"	0.243
"NR1H3"	"LDLR"	0.56325
"EEF1D"	"SUPT5H"	0.2945
"ARRB1"	"LDLR"	0.43775
"ARRB1"	"OR7G1"	0.83325
