"symbol1"	"symbol2"	"MF"
"ACHE"	"CAMK2A"	0.536
"ACHE"	"HAND1"	0.476
"ACP5"	"CD68"	NA
"ACTA1"	"ACTA2"	0.602
"ACTA1"	"ACTN4"	0.538
"ACTA1"	"AKT1"	0.568
"ACTA1"	"ARF1"	0.665
"ACTA1"	"CSK"	0.52
"ACTA1"	"DDOST"	0.446
"ACTA1"	"EEF2"	0.541
"ACTA1"	"EIF4A2"	0.453
"ACTA1"	"EIF5A"	0.523
"ACTA1"	"HSPB1"	0.571
"ACTA1"	"LAMA5"	0.389
"ACTA1"	"PFDN1"	0.425
"ACTA1"	"PGK1"	0.723
"ACTA1"	"RAPSN"	0.69
"ACTA1"	"RPL4"	0.592
"ACTA1"	"RPLP0"	0.559
"ACTA1"	"RPLP2"	0.598
"ACTA1"	"RPS9"	0.54
"ACTA1"	"TMSB4X"	0.582
"ACTA1"	"TNNI1"	1
"ACTA1"	"TNNI2"	0.586
"ACTA1"	"TPM2"	0.572
"ACTA1"	"TMSB4Y"	0.553
"ACTA1"	"GSPT2"	0.469
"ACTA1"	"CTNNBL1"	0.584
"ACTA1"	"TUBB"	0.82
"ACTA1"	"HIST1H2AA"	0.367
"ACTA1"	"TUBB2B"	0.86
"ACTA2"	"ACTN4"	0.602
"ACTA2"	"KLF6"	0.602
"ACTA2"	"EEF2"	1
"ACTA2"	"EIF5A"	0.602
"ACTA2"	"HSPB1"	1
"ACTA2"	"PGK1"	0.602
"ACTA2"	"RPL4"	0.602
"ACTA2"	"RPL7"	0.602
"ACTA2"	"RPLP0"	0.602
"ACTA2"	"RPLP2"	0.602
"ACTA2"	"RPS9"	0.602
"ACTA2"	"RPS23"	0.602
"ACTA2"	"SRF"	0.602
"ACTA2"	"TMSB4X"	0.729
"ACTA2"	"TPM2"	0.482
"ACTA2"	"RPL14"	0.602
"ACTA2"	"ARPC1B"	0.602
"ACTA2"	"GSPT2"	0.602
"ACTA2"	"PYCR2"	0.602
"ACTA2"	"TUBB"	0.602
"ACTA2"	"TUBB2B"	0.602
"ACTN4"	"AP2A1"	0.545
"ACTN4"	"AKT1"	0.514
"ACTN4"	"CAMK2A"	0.524
"ACTN4"	"CSK"	0.534
"ACTN4"	"CSNK2B"	0.591
"ACTN4"	"DNM2"	0.562
"ACTN4"	"EEF2"	0.662
"ACTN4"	"FAU"	1
"ACTN4"	"GNB1"	0.538
"ACTN4"	"GNB2"	0.538
"ACTN4"	"MDH2"	0.373
"ACTN4"	"MSN"	0.652
"ACTN4"	"MYL6"	0.474
"ACTN4"	"PF4"	0.517
"ACTN4"	"PGK1"	0.499
"ACTN4"	"RAB5C"	0.522
"ACTN4"	"RPL4"	0.629
"ACTN4"	"RPL7"	0.699
"ACTN4"	"RPL8"	0.385
"ACTN4"	"RPL27A"	0.629
"ACTN4"	"RPLP2"	0.521
"ACTN4"	"RPN1"	0.622
"ACTN4"	"SET"	0.51
"ACTN4"	"SPARC"	0.554
"ACTN4"	"TMSB4X"	0.692
"ACTN4"	"TNNI2"	0.611
"ACTN4"	"TNNT3"	0.594
"ACTN4"	"TPM2"	0.623
"ACTN4"	"TSC2"	0.583
"ACTN4"	"VEGFB"	0.533
"ACTN4"	"VWF"	0.664
"ACTN4"	"SLC9A3R2"	0.617
"ACTN4"	"ARPC1B"	0.586
"ACTN4"	"TRIM3"	0.532
"ACTN4"	"RPL13A"	0.41
"ACTN4"	"TUBB"	0.528
"ADAR"	"EGR1"	0.526
"ADAR"	"IFIT2"	0.738
"ADAR"	"IRF2"	0.497
"ADAR"	"IRF3"	0.525
"ADAR"	"IRF7"	0.516
"ADAR"	"NONO"	0.608
"ADAR"	"NPM1"	0.622
"ADAR"	"PCBP1"	0.73
"ADAR"	"PSMB4"	0.513
"ADAR"	"RPL11"	0.619
"ADAR"	"RPS2"	0.7
"ADAR"	"RPL35"	0.572
"ADCY1"	"FSHR"	0.132
"ADCY1"	"GNAI2"	0.141
"ADCY1"	"GNB2"	0.166
"ADCY1"	"GRM4"	0.096
"ADCY1"	"HRAS"	0.137
"ADCY1"	"HTR4"	0.105
"ADCY1"	"NPY"	0.12
"ADCY1"	"SCTR"	0.103
"ADCY1"	"CXCR4"	0.113
"ADCY1"	"ADM2"	0.169
"ADCY1"	"NPW"	0.169
"AP2A1"	"ARRB2"	0.747
"AP2A1"	"CAMK2A"	0.528
"AP2A1"	"CD22"	0.681
"AP2A1"	"CRK"	0.742
"AP2A1"	"CSNK2B"	0.644
"AP2A1"	"DNM2"	0.614
"AP2A1"	"EEF2"	0.719
"AP2A1"	"EIF5A"	0.611
"AP2A1"	"HLA-DRB1"	0.387
"AP2A1"	"PPP3CC"	0.664
